Month,Est. National Calls
July 2021,4226771600
August 2021,4059014700
September 2021,3963471100
October 2021,4128265700
November 2021,4120977700
December 2021,3568955900
January 2022,3914546100
February 2022,3760510700
March 2022,4365046700
April 2022,3942728000
May 2022,3989164300
June 2022,4328070700
July 2022,3814889600
August 2022,4477228400
September 2022,4197432900
October 2022,4572631800
November 2022,4746075500
December 2022,4265533700
January 2023,4509688500
February 2023,4329348100
March 2023,4995388400
April 2023,4547759800
May 2023,5083647300
June 2023,4858343400
July 2023,4490346200
August 2023,5077575700
September 2023,4271706400
October 2023,4609734900
November 2023,4504835100
December 2023,3769596200
January 2024,4275662000
February 2024,3979639200
March 2024,4264036200
April 2024,4407339200
May 2024,4480264800
June 2024,4126602800
July 2024,4295497500
August 2024,4457439900
September 2024,4482796700
October 2024,4910558000
